Rio de Janeiro | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Receitas realizadas - R$ (&times;1000) [2022],Despesas empenhadas - R$ (&times;1000) [2022],PIB per capita - R$ [2021],
Nil&oacute;polis,3303203,nilopolitano,ABRA&Atilde;O DAVID NETO,19.393,146774,7568.40,96.7,0.753,24.43,391689711.4,507392863.4,18782.18,
Niter&oacute;i,3303302,niteroiense,AXEL SCHMIDT GRAEL,133.757,481749,3601.67,97,0.837,11.4,6015119140,5303439600,128333.01,
Nova Friburgo,3303401,friburguense,JOHNNY MAYCON CORDEIRO RIBEIRO,935.429,189939,203.05,98.7,0.745,7.08,839506632.4,841562897.2,33000.12,
Nova Igua&ccedil;u,3303500,igua&ccedil;uano,ROGERIO MARTINS LISBOA,520.581,785867,1509.60,96.2,0.713,16,2511471373,2746121542,21559.06,
Paracambi,3303609,paracambiense,LUCIMAR CRISTINA DA SILVA FERREIRA,190.949,41375,216.68,96.1,0.720,2.19,161861521.1,231539277.3,21902.8,
Para&iacute;ba do Sul,3303708,sul-paraibano,DAYSE DEBORAH ALEXANDRE NEVES,571.118,42063,73.65,98.6,0.702,13.95,272108096.8,294976924,28006.34,
Paraty,3303807,paratiense,LUCIANO DE OLIVEIRA VIDAL,924.296,45243,48.95,93.8,0.693,10.12,511496089,515143605.1,44262.66,
Paty do Alferes,3303856,patiense,EURICO PINHEIRO BERNARDES NETO,314.341,29619,94.23,97.7,0.671,11.27,221931739,223401966.8,24510.16,
Petr&oacute;polis,3303906,petropolitano,RUBENS JOS&Eacute; FRAN&Ccedil;A BOMTEMPO,791.144,278881,352.50,97.4,0.745,14.02,1987575169,1968360439,51003.6,
Pinheiral,3303955,pinheiralense,EDNARDO BARBOSA OLIVEIRA,82.254,24298,295.40,96.7,0.715,8.13,179781401.5,174855798.2,56826.17,
Pira&iacute;,3304003,piraiense,ARTHUR HENRIQUE GON&Ccedil;ALVES FERREIRA,490.255,27474,56.04,97.7,0.708,11.4,343948140.4,346536148.3,82208.92,
Porci&uacute;ncula,3304102,porciunculense,LEONARDO PAES BARRETO COUTINHO,291.847,17288,59.24,99.1,0.697,15.08,146108554.4,159897033.3,21814.01,
Porto Real,3304110,porto realense,ALEXANDRE AUGUSTUS SERFIOTIS,50.892,20373,400.32,98.9,0.713,-,250199089.1,226462885.8,209624.88,
Quatis,3304128,quatiense,ALU&Iacute;SIO MAX ALVES D ELIAS,284.826,13682,48.04,97.6,0.690,23.44,138283821.3,133623161.5,20945.97,
Queimados,3304144,queimadense,GLAUCO BARBOSA HOFFMAN KAIZER,75.927,140523,1850.76,95.7,0.680,14.33,513313536.9,509034034.4,28636.92,
Quissam&atilde;,3304151,quissamaense,MARIA DE F&Aacute;TIMA PACHECO,719.643,22393,31.12,98.5,0.704,10,500754055,562116960.2,234850.73,
Resende,3304201,resendense,DIOGO GON&Ccedil;ALVES BALIEIRO DINIZ,1099.336,129612,117.90,97,0.768,16.87,982774300.5,928747604.4,80712.15,
Rio Bonito,3304300,rio-bonitense,LEANDRO PEREIRA NETTO,459.458,56276,122.48,97.2,0.710,13.01,371746538.2,493682175.7,30057.69,
Rio Claro,3304409,rio-clarense,JOSE OSMAR DE ALMEIDA,846.797,17401,20.55,97.7,0.683,21.86,219871058.5,212196434.3,23342.67,
Rio das Flores,3304508,rio-florense,VICENTE DE PAULA DE SOUZA GUEDES,478.783,8954,18.70,98.5,0.680,12.99,105582372.3,107120692.9,31314.82,
Rio das Ostras,3304524,riostrense,MARCELINO CARLOS DIAS BORBA,228.044,156491,686.23,98.2,0.773,9.77,1114526723,1182932737,56096.82,
Rio de Janeiro,3304557,carioca,EDUARDO DA COSTA PAES,1200.329,6211223,5174.60,96.9,0.799,11.8,37784146487,43242247098,53078.23,
Santa Maria Madalena,3304607,madalenense,NILSON JOS&Eacute; PERDOMO COSTA,810.963,10232,12.62,98.3,0.668,-,110222049.8,123408524,22599.44,
Santo Ant&ocirc;nio de P&aacute;dua,3304706,paduano / paduense,PAULO ROBERTO PINHEIRO PINTO,603.633,41325,68.46,98.1,0.718,11.09,248618422,238889473.3,30081.81,
