"controle";"tipo_ocorrencia";"base";"data_fato";"mês";"ano"
"53744181-2021";"Furto";"Lapa";2021-07-11 00:00:00;"Julho";2021
"11434961-2021";"Furto";"São Gonçalo";2021-07-11 00:00:00;"Julho";2021
"47874971-2021";"Arma de fogo";"Niterói";2021-07-11 00:00:00;"Julho";2021
"49581061-2021";"Porte de arma branca";"Niterói";2021-07-11 00:00:00;"Julho";2021
"09114262-2021";"Ato obsceno";"Copacabana";2021-07-11 00:00:00;"Julho";2021
"66627211-2021";"Direção perigosa";"Niterói";2021-07-12 00:00:00;"Julho";2021
"74163481-2021";"Furto a estabelecimento comercial";"Copacabana";2021-07-12 00:00:00;"Julho";2021
"35320631-2021";"Apreensão de veículo";"Austin";2021-07-12 00:00:00;"Julho";2021
"69809421-2021";"Mandado de prisão";"Centro";2021-07-12 00:00:00;"Julho";2021
"90015991-2021";"Adulteração do sinal identificador de veículo";"Recreio";2021-07-12 00:00:00;"Julho";2021
"60518061-2021";"Apreensão de drogas";"Japeri";2021-07-12 00:00:00;"Julho";2021
"31675301-2021";"Posse e uso";"Recreio";2021-07-12 00:00:00;"Julho";2021
"85116961-2021";"Receptação";"São Gonçalo";2021-07-12 00:00:00;"Julho";2021
"49095801-2021";"Posse e uso";"Japeri";2021-07-12 00:00:00;"Julho";2021
"68537801-2021";"Posse e uso";"São Gonçalo";2021-07-12 00:00:00;"Julho";2021
"69068961-2021";"Estelionato";"Niterói";2021-07-12 00:00:00;"Julho";2021
"12174231-2021";"Apreensão de veículo";"Niterói";2021-07-12 00:00:00;"Julho";2021
"27015871-2021";"Captura de evadido";"Magé E Piabetá";2021-07-12 00:00:00;"Julho";2021
"47140341-2021";"Posse e uso";"Grajaú E Vila Isabel";2021-07-12 00:00:00;"Julho";2021
"76717581-2021";"Furto a estabelecimento comercial";"Copacabana";2021-07-12 00:00:00;"Julho";2021
"27112671-2021";"Roubo";"Centro";2021-07-12 00:00:00;"Julho";2021
"93306951-2021";"Furto de aparelho de celular";"Barra";2021-07-13 00:00:00;"Julho";2021
"10375211-2021";"Fato atípico";"Ipanema";2021-07-13 00:00:00;"Julho";2021
